pps,AQ,EQ
3,10,61
19,11,36
45,10,56
46,20,42
47,20,43
51,13,38
64,12,49
53,11,41
12,14,48
4,21,48
2,20,35
16,13,61
24,15,37
7,7,47
8,25,26
21,21,46
36,17,39
35,11,69
33,20,65
42,14,55
56,20,30
54,22,56
41,14,39
55,20,51
20,17,43
29,12,57
1,26,36
26,23,62
14,13,41
11,13,52
10,13,39
9,19,33
15,9,46
17,14,47
31,15,43
34,19,48
25,13,30
27,17,37
32,12,69
23,10,57
49,13,42
48,11,57
37,14,46
38,10,62
43,18,42
44,25,44
52,10,39
57,17,50
58,24,44
50,12,41
60,25,42
69,20,37
65,11,37
66,15,25
18,4,47
30,10,40
73,8,51
72,18,39
71,16,52
63,19,50
74,16,47
75,24,58
77,10,35
76,10,56
78,9,25
